"","ARPE19","T53D4","RasV12","MekDD","Aktmyr"
"EXO5",7.73831566574119,8.0862046613816,8.06981554256516,8.02386600565051,7.78806969456081
"ZNF684",6.3017178643943,6.52624051046795,6.65056634830331,6.53831458087869,6.72829587290794
"RIMS3",7.3225407496802,7.13996085586232,7.90394358463088,7.23884962305112,8.03376400339989
"KCNQ4",7.82082122977429,8.0576054261727,7.56113345598503,7.90585041027858,7.22041435257937
"CITED4",7.52735844603017,7.49644644244423,8.50382703326741,8.16534096897932,6.37535949600835
"CTPS1",10.7120156569345,11.1237178602552,11.4455969081383,11.0168388131676,10.6690558111875
"FOXO6",6.26417063819724,6.60362291621318,5.20906175902502,5.61741404657367,6.59606116076592
"EDN2",7.19280799863638,6.9601706805416,4.54693574403219,4.83887340482387,9.00169900541612
"HIVEP3",7.38790720020568,7.31144349470717,8.42997666627612,7.79735031947417,7.09924395353072
"FOXJ3",10.6578952441792,10.6363036783745,10.8925737909148,10.8445577094054,10.4399925982896
"RIMKLA",9.45447801640689,7.97109799178309,6.91298108322193,8.7383879929329,9.67837054427862
"PPCS",10.5500714491961,10.4552446643878,10.7565732230327,10.5060129635036,10.6499912628467
"CCDC30",5.82897726690971,5.99037813579851,5.92595732231734,5.92046675717763,6.3054764559176
"PPIH",9.52732837144618,9.78874982936957,9.91039675672676,9.7982205563602,9.42233124963522
"P3H1",10.6018062610567,10.5876420081852,10.509655716456,10.5019490785825,11.2606750070649
"SLC2A1",14.6899401726512,14.3157987625227,13.8526444060437,14.50365702068,15.5492527827484
"CFAP57",3.7301200095713,3.63794320528406,3.36923883288276,3.51282420717499,3.6293223633727
"TMEM125",3.11836528921916,3.04494670114396,2.75701383616613,2.8554412504186,3.0432524811088
"TIE1",2.9396107050805,2.99268255191276,3.60345457548076,3.18368827231591,2.93756308445647
"CDC20",11.8400349198893,11.9074504169074,12.3185099384451,11.8070824413935,11.5021616769641
"ELOVL1",11.8038929008422,11.693435361925,12.0847026795561,11.5824105888729,11.8920170094577
"MED8",9.7552552048912,9.88797942131075,10.269492285415,9.83750251846232,10.1208991116473
"SZT2",9.77240239056966,9.65872847758592,9.8085644780163,9.7725989143045,9.95648810699692
"ST3GAL3",5.58331071932787,5.59904682777793,5.95551402197283,5.81751019781615,5.47031368418135
"ARTN",4.56723624254934,4.59035542138561,4.64247963937706,4.70342857831171,6.22514767148557
"IPO13",9.75998868775806,9.75529212015916,9.86350681662697,9.65920521737733,10.1927711225213
"DPH2",9.46875057763509,9.62387536021129,9.8498348751405,9.49006842623854,9.29505378676281
"ATP6V0B",10.8187990651353,10.9071063215683,11.3063132002084,10.8522950049969,11.0750759806211
"CCDC24",7.77545363808627,7.46900160244156,7.60472695912132,7.39775741650765,8.03230035249223
"SLC6A9",7.47969457459372,8.82566092091852,9.65510881800495,9.22559278730082,9.10816556539643
"KLF17",3.53018391987905,3.42136982392763,3.78178270468066,3.85660489490324,3.958735567224
"TMEM53",7.18174091236943,7.17262083213487,7.64411401665691,7.14349693118392,7.29578694098149
"ARMH1",3.50147761063527,3.31986015031998,3.18530838560979,3.34064936719217,3.52796150314868
"KIF2C",11.4875162213342,11.7936338518081,12.1083841184015,11.8378573481476,11.5603382357199
"RPS8",14.8058681222561,14.8887852467515,15.0132597576397,14.9370658189189,14.6433399535439
"BEST4",2.47271701075946,2.36190516860152,2.32583342144874,2.30036691382012,2.26184801837445
"PLK3",8.82108063150559,8.38817397428359,9.22504345475951,8.28104736867219,7.86389597565414
"PTCH2",2.9332696618773,2.99483442470746,2.85798430896367,2.98023639392887,3.32185281437759
"EIF2B3",9.16057593389266,9.39527177335463,9.69145912559087,9.4632280988492,9.45323669727081
"UROD",11.7520400305013,11.8191160840014,11.9155279115168,11.7353244601258,11.5810522417882
"ZSWIM5",3.24828620500903,2.8732680991837,3.01186220397084,2.88944947961405,3.13181138171878
"TOE1",8.49948727260497,8.7927893643782,8.91575225639494,8.77878200836657,8.07928826953291
"TESK2",5.92022819341359,6.04552270274492,6.4136911761918,6.25391452284403,5.99125404102419
"CCDC163",5.54316556233435,5.84797618239351,6.23623021811409,5.78562625014542,5.84492063183467
"MMACHC",8.43674034279452,8.53528476552483,8.69034524613951,8.48995168253177,8.147814427717
"NASP",11.5791083284022,11.9611379057927,11.9089110643419,11.997751557134,11.585044295718
"GPBP1L1",11.2488170914659,11.2187904484285,11.4879412383247,11.3365081561124,10.9669062136831
"TMEM69",10.1235880607891,9.93645459969934,9.9704852515037,9.89640414058303,9.54063255804078
"IPP",8.65256795825896,8.53909793630695,8.5860153726001,8.61230687415772,9.02490760267085
"MAST2",10.8550323739237,11.1025914897242,11.148775101211,11.20172778651,10.95830569815
"PIK3R3",7.20910767838663,7.09946330667582,7.14151316147391,7.08088375376259,9.48513626050188
"TSPAN1",6.0281140382303,5.88269284979434,6.11327858775988,6.12648247109599,6.79086017517432
"POMGNT1",11.5176050988921,11.4130910958106,11.8553339817151,11.4747733343566,11.624627526977
"RAD54L",8.43384049177996,9.0254672654098,9.26930004199405,8.85241379720265,8.57885051219889
"UQCRH",11.9265377791831,11.9361357280261,12.2425582729084,11.9843531487941,11.863045417072
"NSUN4",9.36123538782295,9.52841988678354,9.54534691866331,9.37988645259496,9.2705726556427
"FAAH",6.31385938049602,6.41704999865275,5.29487637099829,6.62159841623432,7.03863404628859
"MKNK1",9.20941172500728,9.26464394363248,8.82742437369975,8.98052509751349,9.0534167598964
"EFCAB14",11.634118417729,11.4950043176913,11.4021307642516,11.4214668753159,11.7602321114214
"PDZK1IP1",6.2229792558279,5.97357836062478,4.2825850851648,4.81371978061767,6.41953620165824
"TAL1",1.77094328443498,1.81104295137303,1.72374922749875,1.75917005209495,2.0626409630817
"STIL",9.82425758590762,10.0503953141845,10.2770805269138,10.0198641919837,9.97753717202927
"CMPK1",12.501005866462,12.31097595852,12.5541428666321,12.4764087360899,12.6119390370857
"TRABD2B",2.4395996294014,2.46298919698336,2.2131684421888,2.17839263567419,2.19169050099329
"SPATA6",8.12324102716417,8.30119282434053,8.31868657968039,8.31361038701289,8.5046191032688
"BEND5",7.27798334842239,6.68189349537307,5.59102684055668,7.10644948569988,7.67059377847859
"ELAVL4",1.75466784836462,1.77797982866667,1.73852880814052,1.78222620591564,1.65474715858153
"CDKN2C",10.0873727775967,10.698407404288,10.2335667560701,10.7028402907541,11.0635909034952
"RNF11",12.0393669225123,11.7530616334418,11.8341475232989,11.793931561823,12.1488537679016
"TTC39A",7.41465372463995,7.45970424537034,6.97805168560251,6.84120822000783,7.87000226782453
"OSBPL9",12.0430873996793,12.0762259678632,11.7491662558304,11.9579991427022,12.0612232906926
"NRDC",12.2298357278436,12.1121571152957,12.5217034933967,12.1730416069452,12.3700847593636
"RAB3B",11.5405016105429,11.1293735459944,11.6016113538402,11.2568567296417,10.2877612958842
"TXNDC12",8.16642683003501,8.46729285193083,9.14464853097644,8.58108890690885,8.48666139587846
"KTI12",6.62922187880328,6.70501932664318,6.92836351942071,6.68665105359146,6.37168782096323
"ZFYVE9",10.0317969465248,9.96523165735517,10.2711026311259,10.1020620910893,10.4428940424921
"ORC1",8.51176062512611,8.92868059991911,9.1712237793008,8.87926391048861,8.60002712092053
"GPX7",5.50192773030399,5.56517572920754,5.77667197010302,5.26278643683088,5.26148617465104
"COA7",9.9484649010542,10.1639203801144,10.2195870273722,10.0635889453763,9.44129370457867
"ZYG11B",10.4961571687662,10.4021818019435,10.1506821428153,10.6212859905041,10.8040915353732
"ZYG11A",6.61643116274495,6.66758959051528,6.06478457967144,6.74516750496717,6.69181866384689
"ECHDC2",9.83753795006694,9.95201534891941,9.60870152575544,10.0895186929745,10.1011158045761
"SCP2",11.8874517257748,11.9349294702842,11.5897352378687,11.9829744799106,12.3690654824354
"PODN",4.39381409439551,4.61538494712541,4.47954792899407,4.64846495698518,5.00206524599102
"SLC1A7",2.85634488050928,3.04341766070841,2.90111443096713,2.94338815957369,3.27837095398509
"CPT2",9.97322422280852,9.69001784298415,9.65026431786647,9.47063846653619,10.164425554896
"CZIB",9.97936922233851,10.2002618077148,10.1323518843172,10.2984917273791,10.2394778955896
"MAGOH",9.14935298794877,9.42065133560886,9.62448420181571,9.55978833308507,9.12349004823877
"LRP8",9.97280042684325,10.2053399012234,10.9220687378005,10.2615997227442,10.3787687143825
"GLIS1",4.60919488599629,4.47317902236819,4.4553904206536,4.24685587074141,5.79757392458535
"YIPF1",9.49291104505583,9.36945177004733,9.59628374590479,9.24494764895055,9.61814269680788
"LRRC42",10.3259888478613,10.4335664474394,10.1306717076742,10.4522807080298,10.2735444247466
"TCEANC2",8.77713000476846,8.88190941893575,9.07756560458809,8.85044012593534,9.06725178222253
"CYB5RL",7.53367760346462,7.7245150489573,7.69953383154765,7.69079590700456,7.94930375440817
"SSBP3",9.80036651797284,9.57816101824234,9.72625329334352,9.6626147241442,10.7087699844451
"ACOT11",5.99845349413367,5.85973837472117,5.61463426744985,6.39301263268204,5.93993330302506
"TTC4",3.78861826234213,3.82198400836171,4.08594684186429,3.91012187410858,3.92173250862534
"DHCR24",13.996168330253,13.9609126132618,13.1839647632873,13.284846732069,13.8952958897543
"PLPP3",6.46047438376876,6.3954152486174,7.19846378134028,7.54678396448027,8.24992251542295
"PRKAA2",10.1567974766584,9.80692009331203,9.75960615437936,10.12578205091,10.2987107537602
"FYB2",2.65193902005862,2.45795380639382,2.39312679560171,2.35834058138537,2.39526850519799
"DAB1",5.14742883353373,4.93769525961135,4.63765489137964,5.31938717774348,4.56514943365127
"MYSM1",9.88815331691226,9.68330316331758,9.9778720318193,9.90026544148585,9.73919947139297
"JUN",13.2745618023125,13.039887575895,13.450035041942,13.0024604759595,12.7638113598788
"HOOK1",9.20944561374784,9.09243647095145,8.52794700946564,8.91322253432192,8.94277004017516
"CYP2J2",4.30315620239924,4.13162351612751,4.11288239540717,4.16031138419037,3.81622022386847
"NFIA",8.78666374573361,8.79663677005567,8.58732859564885,8.76525962700555,9.27460983852068
"PATJ",9.98375248814479,10.0208609890436,9.47829467748889,10.0351571180051,10.2728774102227
"USP1",11.2929898505206,11.8511672567107,11.8380045090528,12.0765440411462,11.5006390906937
"DOCK7",11.6755582282525,11.4124183701777,11.7054334145416,11.7066187861163,11.8922636340836
"ATG4C",8.49182259464949,8.55091230221494,8.94756407494603,8.61360926857452,8.75155703730426
"ALG6",8.43274019673456,8.52262505830024,8.69654909613405,8.50637514432189,8.84147939532311
"ITGB3BP",9.31056656318791,9.55833179117123,9.83570126055239,9.63091020898814,9.53935735245752
"EFCAB7",7.87970166974418,7.9629623624131,7.75227535929624,7.98485096029349,8.17591424624265
"PGM1",11.9227019730009,11.6115220536049,11.2244447941611,11.5882116941924,12.3621392003893
"ROR1",9.50299462435404,9.72082082690037,7.34729001681303,9.14880504119582,9.90695418713358
"UBE2U",1.36187621609729,1.3905512273028,1.3326801181475,1.28650381634277,1.38606880945753
"CACHD1",8.30624872536248,8.18463170992617,8.4578567920054,8.123717810815,8.03897063685214
"RAVER2",9.32510221450887,9.42038532985675,9.43004256078561,9.83519845595344,9.42572082447016
"JAK1",13.1579787984968,13.0158799376501,12.4579310341936,12.8651196474869,13.1608083304059
"AK4",12.269313752807,11.675512865083,10.9209557649355,11.8961949016457,12.639180178912
"DNAJC6",9.03897449855175,9.01046793070518,9.2131338992877,8.76999390792304,9.51761450603401
"LEPROT",11.7265630407529,11.6476914050136,11.4210666079514,11.6514600090617,11.821270583468
"PDE4B",5.53873830695879,5.40261485059337,6.7524834392181,6.23587112949438,6.48591604098371
