"","x"
"TARBP1",2
"IRF2BP2",2
"TOMM20",2
"HEATR1",2
"ACTN2",2
"RYR2",2
"FMN2",2
"RGS7",2
"CEP170",2
"SDCCAG8",2
"TFB2M",2
"CNST",2
"ZNF695",2
"NLRP3",2
"TRAPPC12",2
"RNASEH1",2
"RPS7",2
"HPCAL1",2
"ODC1",2
"NOL10",2
"E2F6",2
"TRIB2",2
"WDR35",2
"SDC1",2
"MFSD2B",2
"SF3B6",2
"ASXL2",2
"KCNK3",2
"SLC5A6",2
"ATRAID",2
"CAD",2
"EIF2B4",2
"WDR43",2
"EHD3",2
"XDH",2
"SLC30A6",2
"FAM98A",2
"FEZ2",2
"CEBPZ",2
"QPCT",2
"GEMIN6",2
"THUMPD2",2
"LRPPRC",2
"SIX3",2
"PRKCE",2
"PIGF",2
"MCFD2",2
"FOXN2",2
"ERLEC1",2
"EML6",2
"MTIF2",2
"PNPT1",2
"CCT4",2
"SPRED2",2
"PNO1",2
"CNRIP1",2
"AAK1",2
"MXD1",2
"SNRPG",2
"TGFA",2
"AC007040.2",2
"MPHOSPH10",2
"CCT7",2
"ACTG2",2
"DGUOK",2
"C2orf81",2
"PCGF1",2
"AUP1",2
"EVA1A",2
"GCFC2",2
"TRABD2A",2
"USP39",2
"CIAO1",2
"MGAT4A",2
"MRPL30",2
"TXNDC9",2
"NPAS2",2
"MAP4K4",2
"MRPS9",2
"TGFBRAP1",2
"FHL2",2
"UXS1",2
"TMEM87B",2
"ZC3H8",2
"TTL",2
"POLR1B",2
"IL1A",2
"IL1B",2
"PSD4",2
"RALB",2
"NIFK",2
"GYPC",2
"CYP27C1",2
"ERCC3",2
"WDR33",2
"POLR2D",2
"IMP4",2
"GPR39",2
"LYPD1",2
"ZRANB3",2
"R3HDM1",2
"CXCR4",2
"SPOPL",2
"KYNU",2
"ARHGAP15",2
"EPC2",2
"LYPD6B",2
"TNFAIP6",2
"FMNL2",2
"CYTIP",2
"ACVR1C",2
"ACVR1",2
"MARCHF7",2
"TANK",2
"PSMD14",2
"GRB14",2
"SCN2A",2
"STK39",2
"DHRS9",2
"METTL5",2
"ITGA6",2
"OLA1",2
"PDE11A",2
"PLEKHA3",2
"TTN",2
"CCDC141",2
"ZNF804A",2
"ZC3H15",2
"TFPI",2
"WDR75",2
"ASNSD1",2
"INPP1",2
"GTF3C3",2
"HSPD1",2
"MARS2",2
"PLCL1",2
"C2orf69",2
"TYW5",2
"MAIP1",2
"AOX1",2
"BZW1",2
"TMEM237",2
"MPP4",2
"NOP58",2
"WDR12",2
"CYP20A1",2
"RAPH1",2
"EEF1B2",2
"ADAM23",2
"FASTKD2",2
"ATIC",2
"MREG",2
"XRCC5",2
"MARCHF4",2
"ZNF142",2
"RNF25",2
"GLB1L",2
"FARSB",2
"SCG2",2
"RHBDD1",2
"CCL20",2
"DAW1",2
"PID1",2
"DNER",2
"SP140",2
"SP100",2
"CAB39",2
"PTMA",2
"ATG16L1",2
"TRPM8",2
"SH3BP4",2
"COL6A3",2
"MLPH",2
"UBE2F",2
"PER2",2
"ASB1",2
"TWIST2",2
"THAP4",2
"TRNT1",2
"ITPR1",2
"MTMR14",2
"BRPF1",2
"RPUSD3",2
"VHL",2
"IRAK2",2
"ATG7",2
"TAMM41",2
"TIMP4",2
"RPL32",2
"MRPS25",2
"DPH3",2
"OXNAD1",2
"RFTN1",2
"PLCL2",2
"SATB1",2
"ZNF385D",2
"NKIRAS1",2
"RPL15",2
"NR1D2",2
"THRB",2
"CMC1",2
"AZI2",2
"TGFBR2",2
"STT3B",2
"CMTM8",2
"CMTM7",2
"UBP1",2
"VILL",2
"SCN5A",2
"CSRNP1",2
"SLC25A38",2
"MYRIP",2
"EIF1B",2
"ENTPD3",2
"RPL14",2
"CTNNB1",2
"HIGD1A",2
"SNRK",2
"ANO10",2
"ZNF35",2
"ZNF501",2
"CDCP1",2
"TMEM158",2
"CCR1",2
"CCRL2",2
"DHX30",2
"CDC25A",2
"ATRIP",2
