"","x"
"MBOAT1",1
"TRIM38",1
"ZSCAN16",1
"PGBD1",1
"TRIM39",1
"PPP1R10",1
"MRPS18B",1
"C6orf136",1
"PPP1R18",1
"NRM",1
"FLOT1",1
"VARS2",1
"CCHCR1",1
"TCF19",1
"LTB",1
"CLIC1",1
"SAPCD1",1
"LSM2",1
"HLA-DRA",1
"HLA-DRB5",1
"HLA-DRB1",1
"HLA-DPA1",1
"WDR46",1
"PFDN6",1
"PHF1",1
"CUTA",1
"ZBTB9",1
"UQCC2",1
"SMIM29",1
"MAPK14",1
"MAPK13",1
"BRPF3",1
"PPIL1",1
"MTCH1",1
"GLO1",1
"OARD1",1
"NFYA",1
"TREM1",1
"MEA1",1
"MRPL2",1
"ZNF318",1
"ABCC10",1
"GTPBP2",1
"CAPN11",1
"SLC35B2",1
"RUNX2",1
"ADGRF5",1
"CENPQ",1
"C6orf141",1
"EYS",1
"ADGRB3",1
"MTO1",1
"COX7A2",1
"PHIP",1
"HMGN3",1
"ELOVL4",1
"TENT5A",1
"TPBG",1
"UBE3D",1
"NT5E",1
"SNX14",1
"SMIM8",1
"RNGTT",1
"MAP3K7",1
"EPHA7",1
"NDUFAF4",1
"MMS22L",1
"USP45",1
"HACE1",1
"POPDC3",1
"ATG5",1
"CRYBG1",1
"RTN4IP1",1
"MTRES1",1
"PDSS2",1
"SOBP",1
"NR2E1",1
"CEP57L1",1
"RPF2",1
"CCN6",1
"TUBE1",1
"DSE",1
"ZUP1",1
"ASF1A",1
"HSF2",1
"SMPDL3A",1
"NKAIN2",1
"NCOA7",1
"TRMT11",1
"CENPW",1
"RSPO3",1
"ARHGAP18",1
"SAMD3",1
"TMEM200A",1
"AKAP7",1
"ENPP1",1
"TBPL1",1
"MAP3K5",1
"PEX7",1
"IL20RA",1
"REPS1",1
"ABRACL",1
"AIG1",1
"ADAT2",1
"EPM2A",1
"FBXO30",1
"NUP43",1
"LRP11",1
"RAET1E",1
"RAET1G",1
"MYCT1",1
"FBXO5",1
"RGS17",1
"TFB1M",1
"TMEM242",1
"ZDHHC14",1
"MRPL18",1
"SLC22A3",1
"MAP3K4",1
"RPS6KA2",1
"PHF10",1
"ERMARD",1
"TBP",1
"FAM20C",1
"PDGFA",1
"COX19",1
"ZFAND2A",1
"NUDT1",1
"LFNG",1
"GNA12",1
"ZDHHC4",1
"COL28A1",1
"MIOS",1
"RPA3",1
"ARL4A",1
"ETV1",1
"TWIST1",1
"SP4",1
"RAPGEF5",1
"STEAP1B",1
"KLHL7",1
"IGF2BP3",1
"ZNRF2",1
"GGCT",1
"AVL9",1
"RP9",1
"DPY19L1",1
"INHBA",1
"STK17A",1
"COA1",1
"BLVRA",1
"ADCY1",1
"HUS1",1
"C7orf57",1
"UPP1",1
"FIGNL1",1
"CCT6A",1
"SUMF2",1
"CHCHD2",1
"ZNF107",1
"ZNF273",1
"ZNF92",1
"CRCP",1
"STX1A",1
"LIMK1",1
"CLIP2",1
"POR",1
"TMEM120A",1
"MDH2",1
"GSAP",1
"PTPN12",1
"SEMA3A",1
"DMTF1",1
"SLC25A40",1
"DBF4",1
"STEAP1",1
"GTPBP10",1
"CLDN12",1
"CDK14",1
"GATAD1",1
"PEX1",1
"TFPI2",1
"GNG11",1
"BET1",1
"ASNS",1
"BRI3",1
"SMURF1",1
"KPNA7",1
"ARPC1A",1
"ARPC1B",1
"ZNF655",1
"TMEM225B",1
"COPS6",1
"MAP11",1
"SPDYE3",1
"MEPCE",1
"VGF",1
"PLOD3",1
"LRWD1",1
"ORC5",1
"RINT1",1
"NAMPT",1
"CCDC71L",1
"PRKAR2B",1
"COG5",1
"DUS4L",1
"BCAP29",1
"SLC26A4",1
"PNPLA8",1
"THAP5",1
"DOCK4",1
"IFRD1",1
"MDFIC",1
"LSM8",1
"FAM3C",1
"ZNF800",1
"LRRC4",1
"PRRT4",1
"METTL2B",1
"TMEM209",1
"CEP41",1
"MKLN1",1
"PODXL",1
"PLXNA4",1
"SLC35B4",1
"NUP205",1
"FAM180A",1
"PTN",1
"ADCK2",1
"DENND11",1
"CLEC5A",1
"EPHA1",1
"EZH2",1
"XRCC2",1
"NOM1",1
"PTPRN2",1
"WWC3",1
"MSL3",1
"FANCB",1
"AP1S2",1
"GRPR",1
"SCML1",1
"SCML2",1
"SAT1",1
"APOO",1
"IL1RAPL1",1
"GK",1
"SRPX",1
"MID1IP1",1
"NDP",1
"SLC9A7",1
"RBM10",1
"ZNF41",1
"SYN1",1
"TIMP1",1
"ELK1",1
"SSX1",1
"PORCN",1
"PLP2",1
"SYP",1
"PPP1R3F",1
"NUDT10",1
"NUDT11",1
"GSPT2",1
"FAM156B",1
"TSPYL2",1
"FAM120C",1
"APEX2",1
"PAGE5",1
"ZXDB",1
"SPIN4",1
"OPHN1",1
"YIPF6",1
"STARD8",1
"DLG3",1
"TAF1",1
"RTL5",1
"ERCC6L",1
"RPS4X",1
"XKRX",1
"TRMT2B",1
"DRP2",1
"GLA",1
"ARMCX2",1
"TCEAL2",1
"BEX5",1
"TCEAL8",1
"BEX3",1
"RADX",1
"NUP62CL",1
"COL4A6",1
"RTL9",1
"TRPC5",1
"IL13RA2",1
"UBE2A",1
"C1GALT1C1",1
"GRIA3",1
"XIAP",1
"APLN",1
"ZNF280C",1
"FGF13",1
"MAGEA11",1
"CETN2",1
"NSDHL",1
"ZNF185",1
"CCNQ",1
"BCAP31",1
"ABCD1",1
"NAA10",1
"FAM50A",1
"UBL4A",1
"VBP1",1
"RAB39B",1
"MCPH1",1
"AGPAT5",1
"PRAG1",1
"MFHAS1",1
"ERI1",1
"MSRA",1
"PINX1.1",1
"BLK",1
"NEIL2",1
"CTSB",1
"LONRF1",1
"MICU3",1
"SLC7A2",1
"PSD3",1
"INTS10",1
"EGR3",1
"NKX3-1",1
"STC1",1
"ADAM28",1
"TRIM35",1
"FZD3",1
"DUSP4",1
"GTF2E2",1
"WRN",1
"DUSP26",1
"PLPP5",1
"NSD3",1
"LETM2",1
"TCIM",1
"ZMAT4",1
"SFRP1",1
"AP3M2",1
"THAP1",1
"ST18",1
"RGS20",1
"TCEA1",1
"LYPLA1",1
"PLAG1",1
"CHCHD7",1
"ARMC1",1
"MTFR1",1
"PDE7A",1
"RRS1",1
"MCMDC2",1
"CSPP1",1
"CPA6",1
"TERF1",1
"ELOC",1
"PKIA",1
"ZC2HC1A",1
"HEY1",1
"ZNF704",1
"FABP5",1
"FABP4",1
"IMPA1",1
"ZFAND1",1
"CHMP4C",1
"SNX16",1
"LRRCC1",1
"E2F5",1
"ATP6V0D2",1
"WWP1",1
"RMDN1",1
"CPNE3",1
"MMP16",1
"RIPK2",1
"OSGIN2",1
"PIP4P2",1
"OTUD6B",1
"LRRC69",1
"CIBAR1",1
"GEM",1
"NDUFAF6",1
"MTERF3",1
"PTDSS1",1
"STK3",1
"FBXO43",1
"DCAF13",1
"ANGPT1",1
"EIF3E",1
"EMC2",1
"TMEM74",1
"KCNV1",1
"TRPS1",1
"EIF3H",1
"UTP23",1
"RAD21",1
"MED30",1
"DSCC1",1
"MRPL13",1
"MTBP",1
"SNTB1",1
"TBC1D31",1
"NTAQ1",1
"FER1L6",1
"TATDN1",1
"MTSS1",1
"NSMCE2",1
"TRIB1",1
"KCNQ3",1
"TMEM71",1
"ST3GAL1",1
"KHDRBS3",1
"COL22A1",1
"PTK2",1
"PYCR3",1
"ZNF623",1
"GPAA1",1
"CYC1",1
"HSF1",1
"SLC52A2",1
"ZNF34",1
"ZNF7",1
"RCL1",1
"JAK2",1
"PLGRKT",1
"IL33",1
"UHRF2",1
"DMAC1",1
"LURAP1L",1
"PSIP1",1
"ADAMTSL1",1
"HAUS6",1
"RPS6",1
"IFNE",1
"C9orf72",1
"CHMP5",1
"NOL6",1
"PRSS3",1
"UBE2R2",1
"UBAP1",1
"NUDT2",1
"AL162231.1",1
"TESK1",1
"CCDC107",1
"CREB3",1
"GBA2",1
"RGP1",1
"CLTA",1
"GNE",1
"ZCCHC7",1
"SMC5",1
"C9orf85",1
"ALDH1A1",1
"RORB",1
"C9orf40",1
"RFK",1
"CEP78",1
"PSAT1",1
"FRMD3",1
"GKAP1",1
"KIF27",1
"TUT7",1
"CTSL",1
"SPIN1",1
"SHC3",1
"SECISBP2",1
"CENPP",1
"IPPK",1
"CARD19",1
"PHF2",1
"PTPDC1",1
"SLC35D2",1
"CTSV",1
"TMOD1",1
"NR4A3",1
"ERP44",1
"TEX10",1
"MRPL50",1
