"","MekDD_1_1","Aktmyr_1_2","ARPE19_1_3","RasV12_1_4","T53D4_1_5","MekDD_3_1","Aktmyr_3_2","ARPE19_3_3","RasV12_3_4","T53D4_3_5","RasV12_2_4","T53D4_2_5","MekDD_2_1","Aktmyr_2_2","ARPE19_2_3"
"WDPCP",7.30245096314553,8.1730124761241,7.70453234521065,7.38148247529391,7.56355598319669,7.43600325591854,7.91215676288816,7.42601781137914,7.44908020035423,7.38886304502018,7.38147706577551,7.74350737121985,7.35721964749718,7.88677240318441,7.54062633384629
"UGP2",11.8557886221479,11.8232373760806,11.6852212798672,11.7979774096786,11.7012956306566,11.6807219568288,12.1286952582698,11.9757213090132,11.6293439995174,11.7226628931335,11.6448150683735,11.6856404593356,11.644495923697,11.8234880754939,11.9677031903086
"PELI1",7.29136387772315,7.718972463367,7.35032986595401,7.87016811145806,7.60191666032547,6.87059530496991,7.08017529834231,6.87312421256177,7.6731125719358,7.16536867080663,7.68111329042367,7.35039038657162,7.54669205002279,7.645402298717,7.18173133065787
"LGALSL",9.00419579050005,8.76299466753486,8.79345256928529,8.66493251843482,8.66463165701835,9.17876091437163,9.09184392932633,8.90053929849433,8.49905290350996,8.75859454043995,8.81976107563642,9.02238795807477,9.18576882083938,8.86462581013555,9.01279213094772
"SERTAD2",10.7639118370444,10.7607411015839,10.8041102260328,10.2867730364375,10.7413751427845,10.5212140210544,10.6362601528124,10.60819051676,10.2880049016135,10.4669372464376,10.2869674878977,10.6288907689849,10.552114998748,10.8054133846819,10.6779054569336
"SLC1A4",10.6702506295628,10.1171050296478,8.70018833618862,10.0202875396119,10.690967276205,10.4827923745209,10.5585541226277,9.70960523934111,9.76534774773309,10.6729929850541,10.2970128971683,10.8004029005664,10.6545728981185,11.0828239178033,9.74011671680994
"CEP68",9.60224526904684,9.60719184519008,9.99204621153091,9.19562110912658,9.5267814165142,9.89613640608944,9.63986384934437,9.54598141948445,9.11229377345573,9.69455440869915,9.12000103862521,9.89343404621567,9.81395773017964,9.61738271056913,9.70404379065416
"RAB1A",12.3384056216247,12.8265812809932,12.5473239019764,12.4032798826851,12.4217767627601,12.4535306023875,12.8445217516808,12.7878278243013,12.6242569195171,12.4819311256431,12.5355371872579,12.4311571654487,12.2635504170674,12.7401201858192,12.7024258689753
"ACTR2",13.925284755063,14.0627264320011,13.6439631253923,13.8275464909987,13.8529544965546,13.7203081196036,14.2107793159086,14.0167758769835,13.8325172516814,13.7223171055758,13.7394804297894,13.5910940994941,13.6379286472425,14.1441683050116,13.844746783405
"SPRED2",10.6280794681484,9.70334023507588,10.4602786523302,11.1604681344422,10.5476858579796,10.3868886295833,9.85699613966469,10.3510289372649,11.053537742225,10.4014266441705,11.0667466432547,10.3178007542415,10.5202394956574,9.74489452096059,10.3781302651388
"MEIS1",8.60719483494556,8.74532889885279,8.37117126231861,8.6048829909653,8.5770442265491,8.42970923600252,8.76520198986814,8.30244238814228,8.86145455879036,8.52083989927425,8.4407407519047,8.41401694468332,8.47699185560837,8.59945905008496,8.42490698753573
"WDR92",8.00464875565046,7.77389276330727,7.56987519493148,7.91962344541998,7.73938075014467,7.9328651569221,7.92876860296926,7.6998632865038,7.82739719870732,7.76546430969029,7.80664553570647,7.70888765648914,7.86335039578982,7.61030445018581,7.63546361343213
"PNO1",9.22047512784835,8.62289827429129,8.83419727520041,9.54702832624977,9.24848259146619,8.96052563758556,9.00809060917223,9.1470569769249,9.46933366066433,8.75491472690672,9.59723320910701,9.00795414287235,9.11419373804721,9.01661050867671,9.13779598500475
"PPP3R1",11.045131406962,10.809056426162,10.6580970523938,11.2082546491704,10.8268774556749,10.9204981803191,10.879788306887,10.7521545671845,10.8427337884805,10.7956947559618,10.9563238094033,10.8048409623082,10.917036615992,10.6995370232359,10.7500004142817
"CNRIP1",9.75192375610523,9.21322842948425,9.54593109525334,10.1432098674457,9.64390905295497,9.46414634985725,9.28017578174047,9.41396588366556,9.72660536394119,9.41456591641331,9.9543230974045,9.70466458437129,9.7657714325222,9.13645960716024,9.53269227334045
"FBXO48",7.61341244998779,7.23355127164207,6.75041386072431,7.53317117029104,6.84429652406098,7.31614133777664,6.96919255929321,6.79532419702559,7.12337493966202,6.95625612424447,7.3892517464028,6.96867571545677,7.49188755500491,6.83511534989756,6.79005786265292
"APLF",8.46861287507233,8.31460746231233,8.84669320215488,7.76622213797618,8.54245533106756,8.18467432809543,7.79079843180373,8.40100327502575,7.82998961182051,8.35872206049286,7.75613633131634,8.58070855003811,8.240189066444,8.06609432037194,8.54653935832501
"ANTXR1",12.767981202776,12.9248919305183,13.0871663978544,12.1011269477623,12.8176922669681,12.9006329226878,12.7259136981866,12.9049940525733,12.7344566349261,12.9033121491052,12.4108989745418,12.8791922552937,12.7410293482546,12.865631909401,12.9136234464459
"GFPT1",11.2127277588125,11.8737875145556,11.1606184980889,11.2963518453933,11.1050228840325,11.1450595221556,11.5513448984469,11.4130745038953,11.708828347167,11.2018929859884,11.5716692267624,11.249914089947,11.2708623589795,11.9567901044401,11.2972925834585
"AAK1",10.3547301237459,10.3687531497297,9.96602131382115,10.3698136620677,10.1640296359282,10.3171754867918,10.7474294976633,10.3263527221378,10.6628674686369,10.30617687529,10.7133660200401,10.1071706360879,10.302262214858,10.7761567650296,10.1687061864707
"ANXA4",10.8506951421211,11.209083869606,11.455726089657,10.4336220323714,11.0560154325678,11.1187864364715,11.1316077077219,11.336979324811,10.7911528760765,11.1982417094442,10.7211373643376,11.3147911847771,11.0265329028521,11.2942124797699,11.4916582134937
"GMCL1",9.80570311253674,9.91230171122871,9.36370938832223,9.61548770149218,9.37470463411869,9.94549713796601,9.76380509508446,9.44878775269023,9.52534373624051,9.724547701686,9.55654882476318,9.48290983106667,9.90126769056239,9.5262880495277,9.32226622543075
"MXD1",8.25335275040621,8.53983111128878,8.2503878257329,8.33504942036973,8.45721816605586,7.84940337130101,8.17210844079433,7.88813624904745,8.5352202538467,7.80100563705492,8.67155113940512,7.92182097670524,8.14348177980913,8.76575614041489,7.91553590687478
"PCYOX1",11.853064801856,12.2426214493084,11.9175700849129,11.619568931194,11.3974981941336,11.9383539183936,12.1004100362544,11.8459323087648,12.0613643374522,11.5112832811343,11.6536617986991,11.4431526933767,11.7052772345338,11.6484581835684,11.8246236324073
"SNRPG",11.1060732173729,10.5169466254961,10.5607528270955,11.2397332183311,10.8961136321935,11.172408578226,11.0513571356126,11.1729316987422,11.1387441986992,11.060531879608,11.246146849362,10.8330264805092,11.1243587944951,10.6659442369125,10.8195556690408
"TGFA",11.9415692358792,11.2731019471745,11.4367869137782,11.7452042942483,10.9367893043727,10.8218864589862,10.4423600199751,11.2136420761742,11.2625751301696,10.2417983299065,11.6150887514292,9.97484587058973,10.7168359182795,10.917475689886,11.180291408065
"ADD2",2.94505350939067,4.16659327083002,3.43494350019219,3.04860304947813,2.9966571931546,2.9726866948183,4.26406308949676,3.2790497115517,3.21695407034811,3.03842143247892,3.08298776242488,2.91789464355888,2.92910199631183,4.04509499909622,3.15779592183021
"AC007040.2",3.80745414110118,3.77216810222857,3.60572115836682,4.29097266605683,3.72442885340409,3.98931944664127,4.01447510711004,3.98544923154272,4.30169186599873,3.77542034047,4.43559948112072,3.64822108373705,3.89434587963368,3.79670628148396,3.73355489496845
"NAGK",9.98168782421099,10.4221984004174,10.0429409451774,9.65078070689911,10.2881921392685,10.3064299359738,10.4138668932484,10.1477095409126,10.3027139169869,10.2711176011874,9.87152817925002,10.1636325181034,10.0649706873334,10.4563786068672,9.98215705446652
